,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
10800,2020-06-05 03:00:00+00:00,1.63134,1.63134,1.63125,1.63127,-1,-1.0,-1,1.63142,1.63142,1.63134,1.63137,-1,-1.0,-1
14400,2020-06-05 04:00:00+00:00,1.63118,1.63118,1.63113,1.63113,-1,-1.0,-1,1.63125,1.63128,1.63119,1.63124,-1,-1.0,-1
18000,2020-06-05 05:00:00+00:00,1.62677,1.62697,1.62673,1.62691,-1,-1.0,-1,1.6268,1.62703,1.6268,1.62701,-1,-1.0,-1
21600,2020-06-05 06:00:00+00:00,1.62521,1.62539,1.62518,1.62524,-1,-1.0,-1,1.62528,1.6255,1.62527,1.62538,-1,-1.0,-1
25200,2020-06-05 07:00:00+00:00,1.62704,1.62705,1.62696,1.62696,-1,-1.0,-1,1.62709,1.6271,1.62698,1.62698,-1,-1.0,-1
28800,2020-06-05 08:00:00+00:00,1.62098,1.62103,1.62085,1.6209,-1,-1.0,-1,1.62105,1.62108,1.62087,1.62092,-1,-1.0,-1
32400,2020-06-05 09:00:00+00:00,1.62474,1.62476,1.62462,1.62464,-1,-1.0,-1,1.62479,1.62479,1.62468,1.62468,-1,-1.0,-1
36000,2020-06-05 10:00:00+00:00,1.62419,1.62419,1.62416,1.62416,-1,-1.0,-1,1.62423,1.62428,1.62419,1.62428,-1,-1.0,-1
39600,2020-06-05 11:00:00+00:00,1.62434,1.62434,1.62407,1.6241,-1,-1.0,-1,1.62438,1.62439,1.62414,1.62418,-1,-1.0,-1
43200,2020-06-05 12:00:00+00:00,1.62366,1.6237,1.62358,1.62359,-1,-1.0,-1,1.62371,1.62376,1.62362,1.62364,-1,-1.0,-1
46800,2020-06-05 13:00:00+00:00,1.61967,1.6197,1.61964,1.61968,-1,-1.0,-1,1.61978,1.61978,1.61973,1.61976,-1,-1.0,-1
50400,2020-06-05 14:00:00+00:00,1.62284,1.62288,1.62278,1.62284,-1,-1.0,-1,1.62287,1.62297,1.62286,1.62294,-1,-1.0,-1
54000,2020-06-05 15:00:00+00:00,1.62025,1.6203,1.62012,1.62021,-1,-1.0,-1,1.62035,1.62037,1.62019,1.62031,-1,-1.0,-1
57600,2020-06-05 16:00:00+00:00,1.618,1.61803,1.61796,1.61802,-1,-1.0,-1,1.61809,1.61814,1.61804,1.6181,-1,-1.0,-1
61200,2020-06-05 17:00:00+00:00,1.61982,1.61983,1.61965,1.61968,-1,-1.0,-1,1.61991,1.61993,1.61975,1.61978,-1,-1.0,-1
64800,2020-06-05 18:00:00+00:00,1.62043,1.62045,1.62043,1.62045,-1,-1.0,-1,1.62052,1.62053,1.6205,1.6205,-1,-1.0,-1
68400,2020-06-05 19:00:00+00:00,1.62078,1.62089,1.62078,1.62084,-1,-1.0,-1,1.62087,1.62097,1.62087,1.62091,-1,-1.0,-1
72000,2020-06-05 20:00:00+00:00,1.62144,1.62146,1.62135,1.62139,-1,-1.0,-1,1.62156,1.62156,1.62146,1.6215,-1,-1.0,-1
0,2020-06-08 00:00:00+00:00,1.61655,1.61657,1.61652,1.61655,-1,-1.0,-1,1.61663,1.61664,1.61656,1.61662,-1,-1.0,-1
3600,2020-06-08 01:00:00+00:00,1.61767,1.61771,1.61765,1.61771,-1,-1.0,-1,1.61775,1.61779,1.61775,1.61779,-1,-1.0,-1
7200,2020-06-08 02:00:00+00:00,1.61958,1.61958,1.61951,1.61955,-1,-1.0,-1,1.61964,1.61964,1.61954,1.61959,-1,-1.0,-1
10800,2020-06-08 03:00:00+00:00,1.61893,1.61893,1.61888,1.61888,-1,-1.0,-1,1.61901,1.61901,1.61895,1.61896,-1,-1.0,-1
14400,2020-06-08 04:00:00+00:00,1.61898,1.61906,1.61898,1.61906,-1,-1.0,-1,1.61909,1.61915,1.61908,1.61914,-1,-1.0,-1
18000,2020-06-08 05:00:00+00:00,1.61972,1.61976,1.61968,1.61974,-1,-1.0,-1,1.61978,1.61981,1.61976,1.61978,-1,-1.0,-1
21600,2020-06-08 06:00:00+00:00,1.61918,1.61922,1.61898,1.61898,-1,-1.0,-1,1.61923,1.61928,1.61913,1.61917,-1,-1.0,-1
25200,2020-06-08 07:00:00+00:00,1.61891,1.61891,1.61875,1.61876,-1,-1.0,-1,1.61894,1.61894,1.61882,1.61884,-1,-1.0,-1
28800,2020-06-08 08:00:00+00:00,1.61743,1.61743,1.61738,1.61739,-1,-1.0,-1,1.6175,1.6175,1.61744,1.61745,-1,-1.0,-1
32400,2020-06-08 09:00:00+00:00,1.6148,1.61481,1.61476,1.61477,-1,-1.0,-1,1.61484,1.61487,1.61481,1.61484,-1,-1.0,-1
36000,2020-06-08 10:00:00+00:00,1.61689,1.61689,1.61688,1.61688,-1,-1.0,-1,1.61698,1.61698,1.61696,1.61696,-1,-1.0,-1
39600,2020-06-08 11:00:00+00:00,1.61556,1.61564,1.61556,1.61564,-1,-1.0,-1,1.61564,1.61571,1.61564,1.61568,-1,-1.0,-1
43200,2020-06-08 12:00:00+00:00,1.61522,1.61528,1.6152,1.61527,-1,-1.0,-1,1.61524,1.61533,1.61523,1.61533,-1,-1.0,-1
46800,2020-06-08 13:00:00+00:00,1.61708,1.61708,1.61702,1.61702,-1,-1.0,-1,1.61715,1.61716,1.61711,1.61713,-1,-1.0,-1
50400,2020-06-08 14:00:00+00:00,1.61912,1.61915,1.61889,1.61894,-1,-1.0,-1,1.61918,1.61921,1.61893,1.619,-1,-1.0,-1
54000,2020-06-08 15:00:00+00:00,1.61738,1.61755,1.61737,1.61749,-1,-1.0,-1,1.61742,1.6176,1.61742,1.61759,-1,-1.0,-1
57600,2020-06-08 16:00:00+00:00,1.61461,1.61475,1.61457,1.6147,-1,-1.0,-1,1.61469,1.61483,1.61463,1.61478,-1,-1.0,-1
61200,2020-06-08 17:00:00+00:00,1.61379,1.61385,1.61376,1.6138,-1,-1.0,-1,1.61384,1.61391,1.61382,1.61388,-1,-1.0,-1
64800,2020-06-08 18:00:00+00:00,1.61287,1.61289,1.61284,1.61284,-1,-1.0,-1,1.61295,1.61295,1.61291,1.61294,-1,-1.0,-1
68400,2020-06-08 19:00:00+00:00,1.61003,1.61008,1.61003,1.61003,-1,-1.0,-1,1.61007,1.61013,1.61007,1.61009,-1,-1.0,-1
72000,2020-06-08 20:00:00+00:00,1.60756,1.60766,1.60755,1.60766,-1,-1.0,-1,1.60762,1.60776,1.60762,1.60776,-1,-1.0,-1
78300,2020-06-08 22:00:00+00:00,1.6095,1.60958,1.6092,1.6092,-1,-1.0,-1,1.60996,1.60996,1.60961,1.60967,-1,-1.0,-1
